"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1829057498113785878","Thu Aug 29 07:24:24 +0000 2024","0","Prosesi uji coba lepas landas dan pendaratan yang dilakukan menggunakan pesawat kalibrasi jenis King Air tipe 200 PK CAO berjalan mulus dan lancar #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #SmartDefenseSystem https://t.co/6671ZFykS8","1829057498113785878","https://pbs.twimg.com/media/GWIeGebXoAA3_sL.jpg","","in","Tangerang, Banten","0","0","0","https://x.com/AsmuniDavid/status/1829057498113785878","1564440690935099392","AsmuniDavid"
"1829057493219365013","Thu Aug 29 07:24:23 +0000 2024","0","Kontribusi @PosIndonesia dalam pembangunan IKN melalui infrastruktur logistik yang mendukung efisiensi pengiriman dan konektivitas #PosIND memang Top deh #PosIndonesia https://t.co/Qc1WsJroqR","1829057493219365013","https://pbs.twimg.com/media/GWIeF2pboAALxEL.jpg","","in","West Java, Indonesia","0","0","0","https://x.com/my_ways08/status/1829057493219365013","128641833","my_ways08"
"1829057405432271134","Thu Aug 29 07:24:02 +0000 2024","0","MENTERI PUPR BASUKI HADIMULJONO BERHARAP PADA AWAL SEPTEMBER 2024 PANJANG LANDASAN PACU ITU BISA MENCAPAΙ 2.200 ΜETER. #IbuKotaNegaraNusantara #IKN #IKNNusantara #IndonesiaEmas2045 #SmartCity #KotaModern #IndonesiaMaju #SmartDefenseSystem https://t.co/1NyiuEMY3h","1829057405432271134","https://pbs.twimg.com/media/GWIeBEzXIAARt20.jpg","","in","Tangerang, Banten","0","0","0","https://x.com/AsmuniDavid/status/1829057405432271134","1564440690935099392","AsmuniDavid"
"1829057169565557178","Thu Aug 29 07:23:06 +0000 2024","0","PosIND ikut serta dalam menyumbang nilai investasi di IKN. Pos Indonesia rencananya akan menyediakan jasa kurir dan logistik di IKN melalui investasi bertahap. #PosIND #PosIndonesia @PosIndonesia https://t.co/olzTbi2ZqD","1829057169565557178","https://pbs.twimg.com/media/GWIdzU_bMAAT6gI.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829057169565557178","1187174688612474881","DivaCatrii"
"1829057099755888899","Thu Aug 29 07:22:49 +0000 2024","0","Kontribusi @PosIndonesia tentu memiliki banyak manfaat yang besar bagi pembangunan IKN. #PosIND #PosIndonesia https://t.co/kBb1Sk1rAO","1829057099755888899","https://pbs.twimg.com/media/GWIdus7asAEa-K5.jpg","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/CHika_040416/status/1829057099755888899","1371083937959661568","CHika_040416"
"1829057038724587948","Thu Aug 29 07:22:34 +0000 2024","0","Kontribusi PosIND logistik Indonesia adalah melengkapi layanan publik di IKN. Pos Indonesia secara khusus memenuhi layanan publik di bidang logistik jasa kurir hingga transaksi keuangan. #PosIND #PosIndonesia @PosIndonesia https://t.co/v60l6deZyB","1829057038724587948","https://pbs.twimg.com/media/GWIdrtvaoAAvTC6.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829057038724587948","1187174688612474881","DivaCatrii"
"1829056901985812642","Thu Aug 29 07:22:02 +0000 2024","0","PosIND berkontribusi dalam mendukung infrastruktur logistik di IKN. Infrastruktur logistik sangat dibutuhkan di IKN untuk meningkatkan efisiensi pengiriman pasokan hingga konektivitas. #PosIND #PosIndonesia @PosIndonesia https://t.co/XnvLwyDoTz","1829056901985812642","https://pbs.twimg.com/media/GWIdjvNasAETIJi.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829056901985812642","1187174688612474881","DivaCatrii"
"1829056707554578838","Thu Aug 29 07:21:15 +0000 2024","0","Pendirian Nusantara Logistics Hub &amp; Services tak hanya mendukung penyediaan layanan logistik di IKN Nusantara. #PosIND #PosIndonesia @PosIndonesia https://t.co/1OuEpaGrmi","1829056707554578838","https://pbs.twimg.com/media/GWIdYbOaIAAXUfR.jpg","","in","","0","0","0","https://x.com/DivaCatrii/status/1829056707554578838","1187174688612474881","DivaCatrii"
"1829056582631510352","Thu Aug 29 07:20:46 +0000 2024","0","#PosIND juga membantu melengkapi digitalisasi dan inovasi di IKN. Digitalisasi #PosIndonesia melibatkan pemanfaatan teknologi terkini. @PosIndonesia https://t.co/dOXTNwR7Ax","1829056582631510352","https://pbs.twimg.com/media/GWIdQvsbwAA759g.jpg","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/CHika_040416/status/1829056582631510352","1371083937959661568","CHika_040416"
"1828990347952959589","Thu Aug 29 07:20:21 +0000 2024","0","@lydialiem Betul klo masalah kelar sih emg beneran kelar tp prosesnya sorry to say memang ga mengedepankan humanisme. Kita lockdown pun telat. Mungkin aku jg ga peka sma masalah ini makanya msih stengah2 tp dia lanjut tba2 ngesahin ikn di 2022 pdhl negara jg blm recover","1829056480894652471","","lydialiem","in","Joongi's mole ","0","0","0","https://x.com/Mel0odramatic_/status/1829056480894652471","1267481036671287296","Mel0odramatic_"
